timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629699463547,613,HTTP Request,200,OK,Thread Group 1-1,text,true,,384999,130,2,2,https://test.bestviewsreviews.com/,553,0,326
1629699463817,355,HTTP Request,200,OK,Thread Group 1-2,text,true,,384893,130,2,2,https://test.bestviewsreviews.com/,284,0,55
1629699464178,217,HTTP Request,200,OK,Thread Group 1-2,text,true,,385037,130,3,3,https://test.bestviewsreviews.com/,204,0,0
1629699464177,307,HTTP Request,200,OK,Thread Group 1-1,text,true,,384881,130,3,3,https://test.bestviewsreviews.com/,283,0,0
1629699464238,252,HTTP Request,200,OK,Thread Group 1-3,text,true,,384999,130,3,3,https://test.bestviewsreviews.com/,232,0,23
1629699464399,208,HTTP Request,200,OK,Thread Group 1-2,text,true,,384947,130,3,3,https://test.bestviewsreviews.com/,196,0,0
1629699464489,244,HTTP Request,200,OK,Thread Group 1-1,text,true,,384878,130,4,4,https://test.bestviewsreviews.com/,231,0,0
1629699464492,249,HTTP Request,200,OK,Thread Group 1-3,text,true,,384947,130,4,4,https://test.bestviewsreviews.com/,232,0,0
1629699464610,245,HTTP Request,200,OK,Thread Group 1-2,text,true,,384878,130,4,4,https://test.bestviewsreviews.com/,233,0,0
1629699464649,243,HTTP Request,200,OK,Thread Group 1-4,text,true,,385082,130,4,4,https://test.bestviewsreviews.com/,231,0,27
1629699464735,220,HTTP Request,200,OK,Thread Group 1-1,text,true,,384918,130,4,4,https://test.bestviewsreviews.com/,209,0,0
1629699464743,227,HTTP Request,200,OK,Thread Group 1-3,text,true,,385052,130,4,4,https://test.bestviewsreviews.com/,216,0,0
1629699464857,217,HTTP Request,200,OK,Thread Group 1-2,text,true,,385090,130,5,5,https://test.bestviewsreviews.com/,206,0,0
1629699464894,249,HTTP Request,200,OK,Thread Group 1-4,text,true,,384810,130,5,5,https://test.bestviewsreviews.com/,237,0,0
1629699464957,242,HTTP Request,200,OK,Thread Group 1-1,text,true,,384918,130,5,5,https://test.bestviewsreviews.com/,231,0,0
1629699464972,298,HTTP Request,200,OK,Thread Group 1-3,text,true,,385069,130,5,5,https://test.bestviewsreviews.com/,281,0,0
1629699465076,222,HTTP Request,200,OK,Thread Group 1-2,text,true,,385052,130,5,5,https://test.bestviewsreviews.com/,211,0,0
1629699465071,261,HTTP Request,200,OK,Thread Group 1-5,text,true,,385014,130,5,5,https://test.bestviewsreviews.com/,248,0,18
1629699465145,248,HTTP Request,200,OK,Thread Group 1-4,text,true,,385052,130,5,5,https://test.bestviewsreviews.com/,237,0,0
1629699465201,303,HTTP Request,200,OK,Thread Group 1-1,text,true,,385053,130,6,6,https://test.bestviewsreviews.com/,285,0,0
1629699465299,219,HTTP Request,200,OK,Thread Group 1-2,text,true,,384879,130,6,6,https://test.bestviewsreviews.com/,209,0,0
1629699465272,267,HTTP Request,200,OK,Thread Group 1-3,text,true,,384947,130,6,6,https://test.bestviewsreviews.com/,256,0,0
1629699465395,245,HTTP Request,200,OK,Thread Group 1-4,text,true,,384999,130,6,6,https://test.bestviewsreviews.com/,235,0,0
1629699465334,343,HTTP Request,200,OK,Thread Group 1-5,text,true,,385106,130,6,6,https://test.bestviewsreviews.com/,329,0,0
1629699465520,221,HTTP Request,200,OK,Thread Group 1-2,text,true,,384901,130,6,6,https://test.bestviewsreviews.com/,210,0,0
1629699465486,306,HTTP Request,200,OK,Thread Group 1-6,text,true,,384878,130,6,6,https://test.bestviewsreviews.com/,293,0,16
1629699465642,243,HTTP Request,200,OK,Thread Group 1-4,text,true,,385106,130,6,6,https://test.bestviewsreviews.com/,233,0,0
1629699465505,395,HTTP Request,200,OK,Thread Group 1-1,text,true,,385241,130,7,7,https://test.bestviewsreviews.com/,383,0,0
1629699465540,447,HTTP Request,200,OK,Thread Group 1-3,text,true,,384878,130,7,7,https://test.bestviewsreviews.com/,436,0,0
1629699465679,344,HTTP Request,200,OK,Thread Group 1-5,text,true,,385106,130,7,7,https://test.bestviewsreviews.com/,332,0,0
1629699465742,304,HTTP Request,200,OK,Thread Group 1-2,text,true,,384955,130,7,7,https://test.bestviewsreviews.com/,294,0,0
1629699465886,339,HTTP Request,200,OK,Thread Group 1-4,text,true,,385069,130,7,7,https://test.bestviewsreviews.com/,328,0,0
1629699465899,360,HTTP Request,200,OK,Thread Group 1-7,text,true,,385069,130,7,7,https://test.bestviewsreviews.com/,347,0,17
1629699465988,292,HTTP Request,200,OK,Thread Group 1-3,text,true,,384842,130,7,7,https://test.bestviewsreviews.com/,282,0,0
1629699465794,501,HTTP Request,200,OK,Thread Group 1-6,text,true,,384849,130,7,7,https://test.bestviewsreviews.com/,473,0,0
